,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
100,0.987,,,,,,7681.93,147767434-0002,135' STR MANLIFT W/JIB,1,1395,3295,7535,,2013.8,7535,,
101,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,SWEEPER MID-SIZED RIDE-ON LP,1,510,1745,3495,404.586,404.135,3495,,
102,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
103,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,SBR0400035,1,,,,,,51.1,,
104,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,FUEL CONVENIENCE CHARGE,,,,,,,,,
105,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,SBR1500890,1,,,,,,42.35,,
106,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,FUEL CONVENIENCE CHARGE,,,,,,,,,
107,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,DLPKSRCHG,1,,,,,,195,,
108,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,TRANSPORTATION SURCHARGE,,,,,,,,,
109,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,ENVIRONMENTAL ENVIRONMENTAL/HAZMAT,1,,,,,,52.89,,
110,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,DELIVERY CHARGE,,,,,,,500,,
111,0.987,,AGGLOMERATOR STEP 2,,,,,141221810-0002,PICKUP CHARGE,,,,,,,500,,
112,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,795.21,135982787-0010,1000-1499LB SKIDSTEER CAB,1,235,545,1335,887,741.4,780,,
113,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"3,585.89",141221810-0006,SWEEPER MID-SIZED RIDE-ON LP,1,510,1745,3495,470.282,404.135,3495,,
114,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"3,585.89",141221810-0006,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
115,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,316.89",122090806-0016,SWEEPER MID-SIZED RIDE-ON LP,1,466.9,1191.9,2282.66,,420.7,2282.66,,
116,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,094.58",142858409-0001,4000W NARROW VERTICAL MAST,1,125,317,615,,615.8,615,,
117,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,094.58",142858409-0001,4000W NARROW VERTICAL MAST,1,125,317,615,2269.041,2164.4,615,,
118,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,094.58",142858409-0001,4000W NARROW HORIZONTAL MAST,1,125,317,615,,5412.2,615,,
119,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,094.58",142858409-0001,4000W NARROW HORIZONTAL MAST,1,125,317,615,3337.917,3243.43,615,,
120,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,624.22,153015383-0002,4 WHEEL IND ELECT CART < 7500LB TOW,1,100,267,615,826.685,825.245,615,,
121,0.997,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,040.37",141037970-0005,30-33' ELECT SCISSOR,1,275,525,1025,,395.8,1025,,
122,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,534.9,106156890-0041,4 WHEEL IND ELECTRIC CART 4 SEAT,1,87,213,527,,29.1,527,,
123,0.997,"SUNBELT RENTALS, INC.",USS MINNTAC MT IRON,"MT IRON,",MN,55768 3013,"1,485.41",134214336-0002,1000LB DSL TRACK MINI SKIDSTEER,1,,647,1457,,78,1457,,
124,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,802.60",131411417-0028,2000-2800LB SKIDSTEER HIGH FLOW CAB,1,455,1300,2749,334.4,280,2749,,
125,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,802.60",131411417-0028,SKIDSTEER LOADER BUCKET,1,,,,,,,,
126,0.997,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,526.19",108035333-0036,45' ART MANLIFT W/JIB,1,247,499,1497,,999.6,1497,,
127,0.997,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"4,460.31",119515327-0021,4 YD ARTIC LOADER,1,565,1725,4375,234.25,2,4375,,
128,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,575.12",131143960-0020,1000LB DSL TRACK MINI SKIDSTEER,1,237,685,1545,,11.1,1545,,
129,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,575.12",131143960-0020,SKIDSTEER LOADER BUCKET,,,,,,,,,
130,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"1,177.52",88107248-0062,0-1000LB SKIDSTEER,1,187,469,1155,,58,1155,,
131,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,507.96",142858409-0003,4000W NARROW VERTICAL MAST,1,125,317,615,,615.8,615,,
132,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,507.96",142858409-0003,4000W NARROW VERTICAL MAST,1,125,317,615,2319.232,2164.4,615,,
133,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,507.96",142858409-0003,4000W NARROW HORIZONTAL MAST,1,125,317,615,,5412.2,615,,
134,0.42,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,507.96",142858409-0003,4000W NARROW HORIZONTAL MAST,1,125,317,615,3410.462,3243.43,615,,
135,0.992,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,609.79",116818712-0025,1500-2100LB TRACK SKIDSTEER CAB,1,253,679,1579,,770,1579,,
136,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,185CFM 125PSI DIESEL AIR COMPRESSOR,,225,397,855,3955,3952,622,,
137,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,"3/4"" X 50' AIR COMPRESSOR HOSE",3,14,34,79,,,144,,
138,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,DLPKSRCHG TRANSPORTATION SURCHARGE,1,,,,EA,,78,,
139,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,ENVIRONMENTAL ENVIRONMENTAL/HAZMAT FEE,1,,,,EA,,12.12,,
140,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,DIESEL DIESEL FUEL,10,,,,EA,,105,,
141,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,DELIVERY CHARGE,,,,,,,200,,
142,0.987,,AGGLOMERATOR STEP 2,,,,,141041668-0001,PICKUP CHARGE,,,,,,,200,,
143,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,281.51",103883211-0054,1000-1499LB SKIDSTEER CAB,1,217,515,1257,746.488,521.281,1257,,
144,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR,"MOUNTAIN IRON,",MN,55768 3013,"2,138.89",98894889-0051,"11,000LB MINI EXCAVATOR CAB",1,353,879,2097,,1185.3,2097,,
145,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,115.57",135976387-0012,"18,500LB MINI EXCAVATOR CAB",1,497,1327,3055,1365.7,1325.1,3055,,
146,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,022.81",142673298-0014,2800-3200LB TRACK SKIDSTEER CAB,1,347,1297,2965,2190.55,2034,2965,,
147,0.987,"SUNBELT RENTALS, INC.",KEEWATIN TACONITE,"KEEWATIN,",MN,55753,"8,395.58",134757872-0002,800-899K BTU MOBILE IND FIRED HEATER,1,915,2745,8235,,,8235,,
148,0.987,BRANDY MOUNT,MINTAC,"MT IRON,",MN,55768 3013,1906.07,120242529-0031,SWEEPER MID-SIZED RIDE-ON LP,1,365,745,1840,,319.5,1840,,
149,0.987,BRANDY MOUNT,MINTAC,"MT IRON,",MN,55768 3013,1906.07,120242529-0031,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
150,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,534.9,105406943-0035,4 WHEEL IND ELECT CART < 7500LB TOW,1,87,213,527,,450,527,,
151,0.997,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"7,681.93",147767434-0005,135' STR MANLIFT W/JIB,1,1395,3295,7535,,2013.8,7535,,
152,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,906.07",151658970-0003,SWEEPER MID-SIZED RIDE-ON LP,1,365,745,1840,683.807,672.591,1840,,
153,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,906.07",151658970-0003,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
154,0.977,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,835.55",116327579-0033,5.5K 19' CAB TELEHANDLER FORKLIFT,1,267,837,1627,,2076.95,N/C,,
155,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,440.28",128143317-0021,6K 14-17' DF W/HYD FP IND FORKLIFT,1,215,540,1375,1893.811,1293,1375,,
156,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,440.28",128143317-0021,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
157,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,440.28",128143317-0021,,,,,,,,27.28,,
158,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,575.12",131143960-0023,1000LB DSL TRACK MINI SKIDSTEER,1,237,685,1545,265.1,11.1,1545,,
159,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,575.12",131143960-0023,SKIDSTEER LOADER BUCKET,,,,,,,,,
160,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"1,259.08",88107248-0064,0-1000LB SKIDSTEER,1,195,487,1235,,58,1235,,
161,0.964,BRANDY MOUNT,AGGLOMERATOR STEP 2,"PARK RIDGE MOUNTAIN IRON,",MN,55768 2075,2647.64,136318014-0004-A,1/2-1 YD ARTICULATING LOADER,1,320,1120,2597,2287.16,2271.151,2597,,
162,0.977,,AGGLOMERATOR STEP 2,,,55768 2075,,141221810-0003,SWEEPER MID-SIZED RIDE-ON LP,1,510,1745,3495,420.489,404.135,3495,,
163,0.977,,AGGLOMERATOR STEP 2,,,55768 2075,,141221810-0003,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
164,0.987,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"2,001.27",110929216-0038,4 TON CARRY DECK CRANE,1,313,787,1963,354.32,166.244,1963,,
165,0.94,,,,,,503.59-,108022679-0036,,1,,,,,,89.11-,,
166,0.94,,,,,,503.59-,108022679-0036,DELIVERY CHARGE,,,,,,,207.24-,,
167,0.94,,,,,,503.59-,108022679-0036,PICKUP CHARGE,,,,,,,207.24-,,
168,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"6,045.62",142673298-0009,2800-3200LB TRACK SKIDSTEER CAB,1,347,1297,2965,2132.8,2034,2965,,
169,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"6,045.62",142673298-0009,2800-3200LB TRACK SKIDSTEER CAB,1,347,1297,2965,200.15,127.25,2965,,
170,0.992,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,101.80",125271165-0021,5K 14-17' DF IND FORKLIFT,1,,507,1043,1764.508,1623.141,1043,,
171,0.992,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,101.80",125271165-0021,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
172,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,316.89",122090806-0018,SWEEPER MID-SIZED RIDE-ON LP,1,466.9,1191.9,2282.66,,420.7,2282.66,,
173,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"6,789.75",145852639-0001,30-39K HYDRAULIC EXCAVATOR REDUCED,1,597,2100,4295,356.15,349.5,4295,,
174,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"1,361.03",135982787-0005,1000-1499LB SKIDSTEER CAB,1,235,545,1335,,741.4,1335,,
175,0.997,"SUNBELT RENTALS, INC.",USS MINNTAC MT IRON,"MT IRON,",MN,55768 3013,"3,772.15",73711349-0082,4 YD ARTIC LOADER,1,585,1397,3700,2780.25,1256.65,3700,,
176,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,534.9,105406943-0032,4 WHEEL IND ELECT CART < 7500LB TOW,1,87,213,527,,450,527,,
177,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,164.67",120242529-0015,SWEEPER MID-SIZED RIDE-ON LP,1,465,1580,3080,,319.5,3080,,
178,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,164.67",120242529-0015,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
179,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,534.9,106156890-0033,4 WHEEL IND ELECTRIC CART 4 SEAT,1,87,213,527,,29.1,527,,
180,0.997,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"4,460.31",119515327-0018,4 YD ARTIC LOADER,1,565,1725,4375,127.3,2,4375,,
181,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,463.98",133626572-0006,"3, 500LB MINI EXCAVATOR",1,277,635,1435,937.971,912.047,1435,,
182,0.987,"SUNBELT RENTALS, INC.",USS MINNTAC MT IRON,"MT IRON,",MN,55768 3013,"1,485.41",134214336-0013,1000LB DSL TRACK MINI SKIDSTEER,1,,647,1457,,78,1457,,
183,0.997,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,532.87,125758598-0015,4 WHEEL IND ELECT CART < 7500LB TOW,1,97,197,525,663.399,384.664,525,,
184,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,350.56",88643735-0067,6K 14-17' DF IND FORKLIFT,1,215,537,1287,,2294,1287,,
185,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,350.56",88643735-0067,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
186,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR,"MOUNTAIN IRON,",MN,55768 3013,"1,485.41",118880755-0024,1000LB DSL TRACK MINI SKIDSTEER,1,223,647,1457,258.019,188.788,1457,,
187,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR,"MOUNTAIN IRON,",MN,55768 3013,"1,485.41",118880755-0024,LOADER BUCKET,1,,,,,,,,
188,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,575.12",131143960-0018,1000LB DSL TRACK MINI SKIDSTEER,1,237,685,1545,,11.1,1545,,
189,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0025,4 TON CARRY DECK CRANE,1,335,835,2079,1162.516,790.3,2079,,
190,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0025,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
191,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,350.56",88643735-0074,6K 14-17' DF IND FORKLIFT,1,215,537,1287,,,1287,,
192,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,350.56",88643735-0074,33LB PROPANE CYLINDER,1,7,13,38,1119.532,1101.286,38,,
193,0.997,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"4,776.35",119515327-0032,4 YD ARTIC LOADER,1,605,2115,4685,418.6,2,4685,,
194,0.997,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,526.19",108035333-0043,45' ART MANLIFT W/JIB,1,247,499,1497,,999.6,1497,,
195,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"1,402.52",134986811-0001,0-1000LB SKIDSTEER,1,187,469,1155,496.194,458.867,1155,,
196,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0022,4 TON CARRY DECK CRANE,1,335,835,2079,1129.947,790.3,2079,,
197,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0022,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
198,0.992,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,609.79",116818712-0031,1500-2100LB TRACK SKIDSTEER CAB,1,253,679,1579,,770,1579,,
199,0.987,"SUNBELT RENTALS, INC.",KEEWATIN TACONITE,"KEEWATIN,",MN,55753,"1,346.75",138449365-0014,500LB DSL TRACK MINI SKIDSTEER,1,223,649,1321,,689.9,1321,,
200,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,281.51",103883211-0041,1000-1499LB SKIDSTEER CAB,1,217,515,1257,573.567,521.281,1257,,
201,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,4000W NARROW VERTICAL MAST,1,123,315,627,,3350.3,627,,
202,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,4000W NARROW VERTICAL MAST,1,123,315,627,,4677.6,627,,
203,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,4000W NARROW VERTICAL MAST,1,123,315,627,,3805.8,627,,
204,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,DLPKSRCHG,1,,,,,,79.95,,
205,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,,1,,,,,,36.66,,
206,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,ENVIRONMENTAL/HAZMAT,,,,,,,,,
207,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,DELIVERY CHARGE,,,,,,,195,,
208,0.801,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,387.61",138400100-0001,PICKUP CHARGE,,,,,,,195,,
209,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,658.72",123617017-0015,5.5K 19' CAB TELEHANDLER FORKLIFT,1,327,837,1627,1987.8,1920.2,1627,,
210,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,732.13",145431905-0011,1000LB DSL TRACK MINI SKIDSTEER,1,265,753,1699,,677.3,1699,,
211,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,061.68",118967546-0029,4 WHEEL IND ELECT CART < 7500LB TOW,1,83,185,523,436.153,364.236,523,,
212,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,061.68",118967546-0029,4 WHL IND ELECT CART > 7500LB TOW,1,83,185,523,803.109,328.897,523,,
213,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"1,228.15",148640889-0003,SWEEPER W/B BATTERY HEPA,1,275,695,1210,225.578,224,1210,,
